index,word,meaning
158,abono,"s. m. a) (abonação, abonamento) kupfuna, kusékétéla (ku), xipfunu, xisékétélo (xi-svi). b) (aprovação, louvor, abonação) kukhensa (ku). c) (fiança, caução, garantia, abonação) xitíyíso, xikhómánandzú, (xi-svi). d) (auxílio monetário; abonação) malé yá xípfúnu, malé yá xítsútsúmélo (yi-ti). e) (subsídio em dinheiro, além do vencimento ou ordenado; acréscimo ao peso ou medida justa) malé yá xítlhantékela (yi-ti). f) (defesa ou reforço (de opinião, conceito, etc.) nsékétélo (mu-mi)."
159,aborbulhar,v. i. (estar ou ficar cheio de borbulhas) kutlhukuvela v. i.
160,abordagem,"s. f. a) (acto ou efeito de chegar à beira ou borda de; de aproximar-se de) kutshinela (ku). b) (ext.) (acometida, assalto) kudumela, kuhlásélá v. t., nhlásélo (mu-mi). c) (ext.) (abordada, tratamento (de tema, de assunto)) kulandza v t, malandzéla (ma). d) (ext.) (acto ou efeito de estar borda com borda; de encostar) kusékétélána, kukhígétélána (ku) e) (acostagem) kukhisa (ku)."
161,abordar,"v. t. a) (chegar à beira ou borda de; aproximar-se de) kutshinela v. t. b) (acometer, assaltar) kudumela v. t. c) (ext.) (tratar de, versar (tema, assunto)) kulandza v. t. d) (ext.) (estar borda com borda; encostar) kusékétélána, kukhígétélána v. rec. 2. v. i. (chegar, encostar com o bordo (no cais, na costa, etc.)) kukhisa v. i."
162,aborigine,"adj. 2 gen. -á tiko loc. adj. 2. s. 2 gen. mupsáliwa, muvelékiwa, mutumbuluki (mu-va), xipsáliwa|xipsálwa, xivelékiwa (xi-svi)."
163,aborrecedor,"adj. 1. (aborrecivel, detestável) -á kunyényéntsá loc. adj. 2. s. m. (aquele que aborrece ou causa aborrecimento) munyényéntsí, mukhúngúványísi (mu-va)."
164,aborrecer,"v. t. a) (maçar) kuphírhá, kusvírhá, kudina, kuvítsínyá v. t., kukhúngúványísa v caus. || (maçar com instâncias enfadonhas) kuwúpfísá v. caus. (fig.) b) (causar aversão) kudíkínyá, kunyényéntsá v. t. 2. v. pron. kukwata, kuphírhéká, kuvítsínyéka, kukhúngúványéka v. i."
165,aborrecido,"adj. -á kúkwáta, -á kuphírhéká, -á kuvítsínyéka, -á kukhúngúványéka loc. adj. || [estar, parecer aborrecido]: kuvitsitsi, kuvítsi ideo."
166,aborrecimento,"s. m. a) (contrariedade) kukwata (ku), nkárhátéko (mu-mi), xikhuna (xi-svi). b) (o que origina o aborrecimento) xikwatiso, xikhúngúványíso (xi-svi); phórhé (ri-ma)."
167,aborrecível,"adj. a) (detestável) -á kunyényéntsá loc. adj. b) s. m. (aquele que aborrece ou causa aborrecimento) munyényéntsí, mukhúngúványísi (mu-va)."
168,abortamento,"(aborto, acção de abortar) kuxixa (ku), nxixo, nxixiso (mu-mi)."
169,abortar,"v. t. & i. a) (desmanchar a gravidez) kuxixa, kuchixa; kuhohlota v caus., kubóxá v. t. || (entre animais) kuholota, kufólójá, kuphonyota v. i. b) (não ter êxito; falhar) kunyatha v. i."
170,abortivo,"adj. -á kúxíxa loc. adj. 2. s. m. (substância que provoca o abortamento) xixixo, xixixiso (xi-svi)."
171,aborto,s. m. a) rixixa (ri-ti). || [aborto entre os animais]: holoto (ri-ma). b) (o feto morto antes de se desenvolver) xiholoti (xi-svi).
172,abotoar,"v. t. a) kufásélá, fásá v. t. Ex.: abotoar a camisa/ apertar o botão kufásélá hémbe/kufásélá butáwu, kukúnúpéla v. t. (A) knoop. b) (deitar (a planta) botões ou gomos) kuhluka v. i."
173,abraâmico,adj. -á Ábrahámu loc. adj.
174,abracadabra,"s. m. a) (palavra cabalística à qual se atribuía a propriedade de curar certas doenças; amuleto em que estava escrita ou gravada essa palavra) abrakadabra (ri-ma). b) (crença supersticiosa) vukhólwahává (vu). c) (fig.) (expressão sem sentido, ininteligível) xikhiri (xi-svi)."
175,abraçadeira,"s. f. xikhómánísi (xi-svi), brasadéra (ri-ma). (P)."
176,abraçar,"v. t. a) (apertar com os braços; tomar entre os braços) kuvúkárhá, kutlámárhéla, kuvúlúngéta, kusingarhela, kugángárhéla, kuhákárhéla, kukhúmbárhéta, kukhwámárhéta, kuxíngá; kukhómá v. t., kubarasara v. t. (P), kuháká v. t. (1) hung. || [apertar nos braços, numa luta]: kumhákátséla v. t. b) (circundar, rodear) kurhéndzélá v. t. c) (adoptar) kuyamukela, kunamarhela v. t. d) (ocupar-se de; tomar a responsabilidade de) kulandza v. t."
177,abraço,"s. m. kuvúkárhá, kutlámárhéla, kusingarhela, kukhúmbárhéta, kukhwámárhéta, kuvúlúngéta, kuxíngá (ku), kuháká (ku). (1) hug., nsíngárhélo, nkhwámárhéto, vúlúngéto (mu-mi)."
178,abrandamento,"s. m. kurhútísá, kuhúngútá, kuyampsisa, kurheleta kurheta (ku). || kurhelela, kurhútélá, kuhúngúká, kuyampsa (ku)."
179,abrandar,"v. t. kurhútísá, kuhúngútá, kupúmbá kuyampsisa, kurheleta kurheta v. caus. 2. v. i. kurhelela, kurhútélá, kuhúngúká, kupúmbéká, kuyampsa v. i."
180,abrangedor,"adj. -á kúyánéta |-á kúyénéta, -á kukátsá, -á kupátsá, -á kúfíkéla, -á kúkhúmba loc. adj."
181,abrangência,"s. f. a) (acto ou efeito de atingir toda a extensão) kuyaneta kuyeneta, kuyangamela, kukátsá, kupátsá, kuhlanganisa kutlhanganisa (ku). b) (alcance) kufikela, kukumela (ku), nkumelo (mu-mi)."
182,abrangente,"adj. 2 gen. -á kúyánéta |-á kúyénéta, -á kukátsá, -á kupátsá, -á kúfíkéla, -á kúkhúmba loc. adj."
183,abranger,"v. t. a) (atingir toda a extensão) kuyaneta kuyeneta; kuyangamela, kukátsá, kupátsá v. t., kuhlanganisa kutlhanganisa v. caus. b) (atingir, alcançar) kufikela v. t. c) (tocar) kukhumba v. t. Ex.: És abrangido por esta lei. Wakhumbiwa hí nawu lowu."
184,abrasado,"adj. a) (em brasa; queimado) -á kúpfúrha; -á kupshá, -á kubávúká loc. adj. b) (quente, ardente) -á kuhísá, -á kúpfúrha loc. adj. c) (abrasador, de calor intenso) -á xivávula, -á xikwángula loc. adj."
185,abrasador,"adj. -á kuhísá, -á kúpfúrha; -á xivávula, -á xikwángula loc. adj. || [estar muito quente, abrasador]: kudzéé ideo. Ex.: Está um sol abrasador. Mumú wódzéé!."
186,abrasar,v. i. a) kuhísá v. i. b) (pôr em brasa (o ferro para moldá-lo)) kufúhlétá v. t.
187,abrasileirado,adj. -á xibrazíli loc. adj.
188,abrasileirar,v. t. kuyendla ingí i xíbrazíli v. t.
189,abrasivo,"adj. & s. m. a) (que raspa) -á kúkhwáya loc. adj. b) (que desgasta pelo atrito) -á kúkhúhla loc. adj. c) (que esfola, que provoca escoriação) -á kúpsétúla loc. adj."
190,abre-boca,s. m. (instrumento para manter a boca aberta) xipfulanomo (xi-svi).
191,abre-garrafas,s. m. (abridor de garrafas) xipfulamabolhela (xi-svi).
192,abre-latas,s. m. (abridor de latas) xipfulasvikotela (xi-svi).
193,abreviação,"s. f. kukomisa (ku), kugomisa (ku). (Ro), nkomiso (mu-mi), gomiso (mu-mi). (Ro)."
194,abreviado,"adj. -á kúkómísíwa loc. adj., -á kúgómísíwa loc. adj. (Ro)."
195,abreviar,"v. t. kukomisa v. caus., kugomisa v. caus. (Ro), kuhúngútá v caus."
196,abreviatura,s. f. nkomiso (mu-mi).
197,abridor,s. m. (o que serve para abrir) xipfulu (xi-svi). || [abre-garrafas]: xipfulamabolhela (xi-svi). || [abre-latas]: xipfulasvikotela (xi-svi).
198,abrigadouro,"s. m. vusírhélo, vuchávélo, vutsutsumelo (vu)."
199,abrigar,"v. t. a) (proteger) kusírhélá v. t. b) (acolher) kuluvelisa, kuluveta v. caus.; kurhúrhélá Ex.: abrigar os refugiados de guerra kurhúrhélá vabáléki vá yimpi. c) (abrigar das vistas) kufíhlá v. t. 2. v. pron. kuchávélá; kuluvela v. i. Ex.: abrigar-se na cidade kuchavéla édórópéni. || (abrigar-se da chuva) kusísá v. i. || (abrigar-se do sol) kuzúmbhá v. t."
200,abrigo,"s. m. a) (refúgio) vusírhélo, vuchávélo, vutsutsumelo, vupónélo (vu). || (lugar calmo, abrigado) vusísó (vu). b) (construção tosca e precária) ntsóngá (mu-mi), nchanchá nxaxá (mu-mi), baráka (ri-ma). (P) barraca."
201,Abril,s. prop. m. Dzivamisoko (mu-va). [cf. mês].
202,abrilhantar,"v. t. a) kuvangamisa v. caus. b) (fig.) (animar, por exemplo, uma festa) kunyawukisa v. caus."
203,abrimento,"s. m. (acto ou efeito de abrir) kupfula (ku), mpfulu (mu-mi)."
204,abrir,"v. t. a) (descerrar (porta, janela, livro, etc.); desabotoar) kupfula v. t. b) (separar, afastar) kuyáhlúlá v. t. c) (separar as partes juntas ou contíguas) kukéndlúsá v. t. || [abrir as pernas]: (mostrando as partes) kupanyula v. t. (obsc.) d) (fender, furar, mediante incisão, corte, golpe, etc.) kuhandzula, kubóxá, kukhehla v. t. e) (começar; dar por começado ou aberto) kusúngúlá; kukhángúlá, kuqákúlá v. t. || [abrir, por exemplo, uma barra de ferro dobrada em U]: kuyanyula v. t. || [abrir um buraco, um túnel]: kuguba, kucela v. t. || [abrir (um guarda-chuva, um pára-quedas)]: kudlamula v. t. 2. v. i. a) (o céu, depois de nublado) kuxa v. i. b) (Moç.) (sair, ir embora) kubángúlá, kubáróda, kutsémá, kukóká v. i. c) (como por exemplo, os ovos no momento da eclosão do pinto) kutlhórhá, kutlhótlhórhá v. i. 3. v. pron. a) (abrir-se) kupfuleka v. neutr. pass. || [abrir-se, por exemplo, flores e certos frutos]: kubáléká v neutr. pass. b) (separar-se) kuyáhlúká, kukéndlúka v. i."
205,ab-rogação,"s. f. (anulação) kuhélísá, kusúvísá, kudláyá (ku), nsúviso (mu-mi)."
206,ab-rogar,"v. t. (pôr em desuso; anular) kuhélísá, kusúvísá v caus. kudláyá v. t."
207,abrolho,"s. m. muntwá | mútvá (mu-mi), xitlhavána, xitohwana (xi-svi). || [espécie de abrolho, de planta rastejante com seiva viscosa com que se lava o cabelo. O fruto possui duas puas]: hlehlo hlwehlwe (ri-ma)."
208,abrupto,"adj. a) (quase a pique) -á vuwá loc. adj. b) (súbito, repentino) -á xitshukéta, -á kóla ní kóla loc. adj."
209,abscesso,"s. m. rhúmbá | thủmbá (ri-ma), xipfimbí (xi-svi)."
210,absconso,"adj. (escondido) -á kutúmbéla, -á kufíhléká; -á xihúndlá loc. adj. 2. s. m. (coisa secreta; segredo) xihúndlá (xi-svi)."
211,absentismo,"s. m. a) (falta de assiduidade, sobretudo ao trabalho) kupfúmáléka, kulovha (ku). b) (alheamento) kunganáki (ku), vukangáhánya (vu)."
212,absenteísmo,"s. m. a) (falta de assiduidade, sobretudo ao trabalho) kupfúmáléka, kulovha (ku). b) (alheamento) kunganáki (ku), vukangáhánya (vu)."
213,absentista,"adj. 2 gen. & s. 2 gen. -á kupfúmáléka, -á kúlóvha loc. adj."
214,absíntio,"| absinto s. m. bzányí bzá matluka yá kubává (vu-ma) gwányi rá matluka yá kubává (ri-ma), xibahá (xi-svi)."
215,absinto,"| absintio s. m. bzányí bzá matluka yá kubává (vu-ma) gwányí rá matluka yá kubává (ri-ma), xibahá (xi-svi)."
216,absolutamente,"adv. a) há kunéne, hí ntshimá loc. adv. b) (de modo nenhum; absolutamente não) ní kutsóngo loc. adv."
217,absoluto,"adj. -á ntshimá, -á kuhétíséka, -á kutifúmá; -ngahélikí loc. adj. || [em absoluto]: a) (completamente, totalmente) hí kuhétíséka loc. adv. b) (de modo nenhum; absolutamente não; absolutamente) ní kutsóngo loc. adv."
218,absolvente,"adj. 2 gen. -á kúríváléla, -á kutsétséléla loc. adj."
219,absolver,"v. t. kurivalela, kutsétséléla v. t. (por exemplo, num julgamento) kutlhantlha v. t. Ex.: Fui absolvido. Ndzitlhantlhíwile."
220,absolvição,s. f. rivalelo (ri). ntséntsélélo (mu-mi).
221,absorção,"s. f. a) (acção ou efeito de absorver) kupsóngá, kupsómpsá, kuyán'wá (ku), mpsóngó (mu-mi). b) (anexação e assimilação de uma cultura, de uma crença, etc.) kuyán'wélá (ku), yán'wélo (mu-mi). c) (anexação territorial; conquista) muphangu, muvangu mub'angu, nhlásélo (mu-mi)."
222,absorto,"adj. b) (alheado, concentrado em seus pensamentos) -á kukhómíwa hí míyéhlékéto, -á kujá ngqhóndho loc. adj."
223,absorvedouro,s. m. vupsóngélo (vu).
224,absorvente,adj. 2 gen. & s. 2 gen. xipsóngí (xi-svi).
225,absorver,"v. t. a) (sorver) kupsóngá, kupsómpsá, kuyán'wá v. t. b) (consumir; esgotar) kuhétá, kusúvísá v. t. c) (acolher, receber) kuyamukela v. t. d) (preocupar intensamente; requerer toda a atenção de) kuhita v. t. e) (engolir, comendo ou bebendo) kuminta kumita v. t. f) (assimilar) kuyán'wélá v. t. g) (aprender, assimilar) kukhómá, kujóndzá v. t. 2. v. pron. a) (concentrar-se, aplicar-se detidamente em) kutinyíkétá v. pron., kurhón'wá v. i. b) (concentrar-se nos seus pensamentos) kukhómíwa hí míyéhlékéto v pass."
226,absorvido,"adj. (absorto, concentrado em seus pensamentos) -á kukhómíwa hí míyéhlékéto loc. adj."
227,absorvimento,"s. m. kupsóngá (ku), mpsóngo (mu-mi)."
228,abstemía,s. f. vutitsóní (vu).
229,abstémio,"adj. kutitsóná, kutshika (ku), & s. m. mutitsóní, matitsóní (mu-va)."
230,abstenção,s. f. a) (acção ou efeito de abster-se) kutitsóná (ku). b) (recusa voluntária de participar de qualquer acto) kutshika (ku).
231,abster,"v. t. a) (privar) kupfúmátá v. caus. b) (impedir) kutsimba v. t. kuyálísá; kutshikisa v caus. 2. v. pron. a) (privar-se de fazer) kutshika v. i. b) (abster-se, fazer abstinência) kutitsóná, kutikhómá v. pron."
232,abstinência,"s. f. kutitsóná, kutshika (ku), vutitsóní (vu)."
233,abstinente,"adj. 2 gen. & s. 2 gen. -á kutitsóná loc. adj., mutitsóní, matitsóní (mu-va)."
234,abstracção,"s. f. a) (acto de abstrair) kuyavanyisa, kuhámbánísa; kutsavuxa (ku). b) (acto de abstrair-se) kunámá, kutángálála (ku)."
235,abstracto,adj. -á kuyánákányíwa loc. adj.
236,abstraído,"adj. -á kunámá; -á kunganákí, -á kutángálála loc. adj."
237,abstrair,"v. t. kuyavanyisa, kuhámbánísa; kutsavuxa v. t. 2. v. pron. (esquecer-se de si mesmo; distrair-se) kunámá, kutángálála v. i."
238,absurdez,s. f. vuntlentle (vu).
239,absurdidade,s. f. vuntlentle (vu).
240,absurdo,s. m. vuntlentle (vu). 2. adj. -á kúhlékísa; -á kuhlámálísa; -á kukálá xívángélo loc. adj.
241,abugalhar,"v. t. kurhonyola, kupondzola -ponyola, kuhonoka v. i."
242,abúlico,"adj. & s. m. (pessoa sem vontade própria, sem determinação) xihwata (xi-svi)."
243,abundância,"s. f. a) kutálá (ku), ntálú (mu-mi), vunyígí (vu). || [abundância nas colheitas]: mpfúnú, ndzálú (mu-mi). b) (riqueza) rifúwó, xumá, tshomba (ri-ma)."
244,abundante,"adj. 2 gen. -nyingi adj. -a kutálá, -á kúyándza."
245,abundar,"v i kutálá, kuyandza | kuyandha v. i."
246,aburguesar,"v. t. (dar modos, hábitos, aspecto de burguês a; tornar burguês) kuhundzula munyatímalé v. t. 2. v. pron. a) (adquirir hábitos, modos ou aspecto de burgués) kuhanya vukhududu v. i. b) (fig.) (banalizar-se, vulgarizar-se) kuhanya vuhánsí v i, kutichipísa v. pron."
247,abusado,"adj. (que abusa, que excede o permitido; intrometido) -á kuyéyísá, -á kudélélá, -á sviyéyíso loc. adj."
248,abusador,"adj. & s. m. muyéyísí, mudélélí (mu-va)."
249,abusar,"v. t. a) (usar mal ou inconvenientemente de) kuxakela v. t. b) (aproveitar-se de) kuxolola, kulolosa v. t. c) (faltar ao respeito) kuyeyísá, kudélélá, kukanya v. t. 2. v. i. (ir além das medidas ou limites; exceder-se) kutlúlá mpímu, kuhundza mpimu v. i."
250,abusivo,"adj. -á kúxákéla, -á kúxólóla, -á kuyéyísá; -á kutlúlá mpímu loc. adj. [cf. abusar]."
251,abuso,"s. m. a) (falta de respeito) xiyéyíso, xidélélo, xikanyá (xi-svi), abúzu (ri-ma). (P). b) (agressão) vudumeli (vu). || [abuso sexual]: kudumela ká tá másángu Ex.: abuso sexual de menores kudumela vatsóngwaná ká tá másángu."
252,abutre,"s. m. cololwana (ri-ma) ncololwana (mu-mi), kóti (ri-ma), n'wáríkápányana (mu-va)."
253,a.C.,(abreviatura de antes de Cristo) na Kríste ángasívélékíwá; máhlwéni ká Kríste; a.C. (P).
254,aca,"s. m. (fedor, mau cheiro) sema; risema; xwírhí (ri-ma), ximpúse, xinun'hwá (xi-svi), munun'hwé (mu)."
255,acabado,"adj. a) (levado a cabo; pronto) -á kuhélá loc. adj. b) (gasto, consumido, esgotado) -á kútírhísíwa loc. adj. c) (em que nada falta) -á kuhélélá; -á kutálá loc. adj. d) (primoroso, perfeito) -á kuhétíséka loc. adj. e) (abatido, enfraquecido) -á kukárhálá, -á gomé loc. adj."
256,acabamento,"s. m. a) (acto ou efeito de acabar) kuhétá (ku). b) (acto ou efeito de acabar-se) kuhélá (ku). c) (conclusão) kuhétísá (ku), vuhétísélo (vu). d) (tratamento final de obra de pintura, de metal, de madeira, etc.) kukúlúmpsá, kuthéméndéla, kuhétíséla (ku), théméndélo (mu-mi). e) (fim, termo, limite) kuguma, kuhélá (ku), makumu magumu (ma)."
257,acabar,"v. t. a) (fazer acabar) kuhétá v caus. b) (terminar) kugama, kuguma, kuhétá, kuhétísá v. i. || [acabar antes de]: (por exemplo, num concurso) kuchángwélá v. t. 2. v. pron. kuhélá, kuhétíséka, kugama, kuguma v. i."
258,acabrunhado,"adj. a) -á kutsána, -á gome loc. adj. b) (envergonhado) -á kúdána; -á kukhómíwa hí tínganá loc. adj."
259,acabrunhar,v. t. kukhómísá tínganá v. caus.
260,acácia,"s. f. nsavana; munga, ntsebzana, (mu-mi)."
261,academia,"s. f. a) ntsindza wá vutíví (mu-mi), kademiya (ri-ma). (P). || xikólwe xá lé henhla (xi-svi). b) nhlanganu wá tintíví (mu-mi)."
262,académico,"adj. -á kademíya, -á xikólwe xá lé henhlá; -á tintíví loc. adj. 2. s. m. ntíví (yi-ti)."
263,açafate,s. m. xintewana (xi-svi).
264,açafrão,"s. m. halandí (yi-ti), safaráwu (yi-ti). (P), safróni (yi-ti). (1) saffron."
265,açaimar,"v. t. a) (pôr mordaça em, prender com açaime) kusívá nómo hí xihlótwana; kukúléka hí xihlótwana v. t. || (fig.) (reprimir, silenciar) kukándzétéla v. t.; kumíyétá v. caus."
266,açaimo,| açaime s. m. xihlótwana |xihlótıvani (xi-svi).
267,açaime,| açaimo s. m. xihlótwana |xihlótıvani (xi-svi).
268,acaju,s. m. (mogno) mahogani (ma). (1) mahogany.
269,acalmar,"| calmar 1. v. t. kumíyétá, kurhúlísá v. caus. 2. v. pron. kumíyélá, kurhúlá v. i."
270,açambarcamento,"s. m. kutihlengélétéla, kutitékélá (ku)."
271,açambarcar,"v. t. kutihlengélétéla, kutitékélá v. pron."
272,acampado,"adj. -á kúgóva, -á kuvá nchanchéni loc. adj."
273,acampamento,"s. m. a) (acto de acampar) govo (ri-ma). b) (lugar onde se acampa) govéla (ri-ma). c) (abrigo temporário, por exemplo, para viajantes) vuhúmúlélo (vu); nchanchá |nxaxa (mu-mi)."
274,acampar,"v. i. kugova v. i., kukampara v. i. (P)."
275,acanhado,"adj. -á xínyumá, -á kumátha, -á kutitsógáháta loc. adj. 2. s. m. tóyá, d'ema (ri-ma)."
276,acanhamento,"s. m. kunyuma, kumíyélá, kuxénhá (ku); xinyumá; xichávisána (xi-svi), vuntlúkunya (vu)."
277,acanhar,v. t. kunyumisa; kuchávísá v. caus.
278,acanho,"s. m. kunyuma, kumíyélá, kuxénhá (ku); xinyumá; xichávisána (xi-svi), vuntlúkunya (vu)."
279,acantonamento,"s. m. kuyava mintlawá yá masóchwa hí mintsóngá (ku), vuyavi bza mintlawá yá masóchwa hí mintsóngá (vu)."
280,acantonar,v. t. kuyava mintlawá yá masóchwa hí mintsóngá v. t.
281,acareação,"s. f. (acto de acarear) kupimanisa (ku), mpimaniso (mu-mi)."
282,acareamento,"s. m. (acto de acarear) kupimanisa (ku), mpimaniso (mu-mi)."
283,acarear,v. t. kupimanisa v. t.
284,acariciar,"v. t. kunyanga, kusvósvá, kusvósvelá v. t. || [acariciar dando palmadinhas]: kubámbátéla v. t. (fig.)."
285,acarídeo,"s. m. (espécime dos acarídeos) xigalána (xi-svi). 2. adj. -á xigalána, -á rixaka rá xígalána loc. adj."
286,acarígeno,adj. -á kuvangiwa hí svigalána loc. adj.
287,acarinhar,"v. t. a) (tratar com carinho) kukhóma hí rirhándzú; kusíngáthá v. t. b) (afagar) kunyanga, kusvósvá, kusvósvélá v. t."
